exp,channels,n_obs,n_back,max_iter,post_optimize,time_mean,time_max,n_repeats
obs_scaling,4,250,5,10,True,52.156145470002954,52.63069610000821,10
obs_scaling,4,500,5,10,True,59.38444801000442,60.56831430000602,10
obs_scaling,4,750,5,10,True,66.48568836999766,66.57879489999323,10
obs_scaling,4,1000,5,10,True,174.16761688999978,176.54252869999618,10
iter_nback_scaling,4,500,2,1,True,1.4189623500045854,1.4265444000047864,10
iter_nback_scaling,4,500,2,1,False,1.4083888800028945,1.4229040000063833,10
iter_nback_scaling,4,500,2,5,True,8.156500229996164,8.183837100004894,10
iter_nback_scaling,4,500,2,5,False,7.964373259997228,7.976361199995154,10
iter_nback_scaling,4,500,2,10,True,16.563810969999757,16.605044500000076,10
iter_nback_scaling,4,500,2,10,False,16.16399723000068,16.236180899999454,10
iter_nback_scaling,4,500,2,15,True,24.709461210003063,24.98225220000313,10
iter_nback_scaling,4,500,2,15,False,24.069739750000007,24.169124699998065,10
iter_nback_scaling,4,500,2,20,True,33.2844338600029,33.39936860000307,10
iter_nback_scaling,4,500,2,20,False,32.36987719000317,32.54614840001159,10
iter_nback_scaling,4,500,3,1,True,2.329526729998179,2.353970800002571,10
iter_nback_scaling,4,500,3,1,False,2.304537639998307,2.312423999988823,10
iter_nback_scaling,4,500,3,5,True,13.89713405000075,13.919220600000699,10
iter_nback_scaling,4,500,3,5,False,13.41784240999841,13.457842399991932,10
iter_nback_scaling,4,500,3,10,True,28.18532090000226,28.37552040000446,10
iter_nback_scaling,4,500,3,10,False,27.43856433000037,27.710408800005098,10
iter_nback_scaling,4,500,3,15,True,42.4323641200026,42.618330099998275,10
iter_nback_scaling,4,500,3,15,False,41.635820980000425,41.925411099990015,10
iter_nback_scaling,4,500,3,20,True,56.786695009993856,57.249516399999266,10
iter_nback_scaling,4,500,3,20,False,55.47851228999789,55.964844000001904,10
iter_nback_scaling,4,500,4,1,True,3.329531489999499,3.3411979999946197,10
iter_nback_scaling,4,500,4,1,False,3.305750010003976,3.356329899994307,10
iter_nback_scaling,4,500,4,5,True,20.76898138999968,20.79766739999468,10
iter_nback_scaling,4,500,4,5,False,19.896356789999118,19.925786099993275,10
iter_nback_scaling,4,500,4,10,True,42.52445164999663,42.6349249999912,10
iter_nback_scaling,4,500,4,10,False,40.373090750002305,40.67611850000685,10
iter_nback_scaling,4,500,4,15,True,64.24714569000062,64.32704580000427,10
iter_nback_scaling,4,500,4,15,False,61.02651497999759,61.48292319999018,10
iter_nback_scaling,4,500,4,20,True,86.13542823000026,86.29936980000639,10
iter_nback_scaling,4,500,4,20,False,81.80683419999987,82.72207999999227,10
iter_nback_scaling,4,500,5,1,True,4.4541388100013135,4.481406599996262,10
iter_nback_scaling,4,500,5,1,False,4.393177320000541,4.426869100003387,10
iter_nback_scaling,4,500,5,5,True,28.789479589999246,28.865016900002956,10
iter_nback_scaling,4,500,5,5,False,27.531692929996645,27.658771999995224,10
iter_nback_scaling,4,500,5,10,True,59.232107820003876,59.47084389999509,10
iter_nback_scaling,4,500,5,10,False,56.33188142999861,56.738728400014224,10
iter_nback_scaling,4,500,5,15,True,89.85226159000158,92.04205049999291,10
iter_nback_scaling,4,500,5,15,False,84.85313108000119,85.53842300000542,10
iter_nback_scaling,4,500,5,20,True,120.600725960001,121.20346089999657,10
iter_nback_scaling,4,500,5,20,False,115.58507362999808,116.02386010000191,10
