channels,n_back,max_iter,post_optimize,n_obs,time_mean,time_std,time_min,time_max,n_repeats
1,2,1,True,250,0.0048117369986721,0.0001510106647232,0.0046802000142633,0.0056445999944116,100
1,2,5,True,250,0.0273480339997331,0.0003348258698226,0.0269094000104814,0.0285941000038292,100
1,2,10,True,250,0.0574902129994006,0.0049972844026238,0.0546802000026218,0.0934757000068202,100
1,2,15,True,250,0.085179345998622,0.0018844542808314,0.0827966000069864,0.092522299994016,100
1,2,20,True,250,0.1125222279995796,0.0017108235832502,0.1099763000092934,0.1205536000197753,100
1,3,1,True,250,0.0065999069993267,0.0002238617420923,0.0064234000165015,0.0079376999929081,100
1,3,5,True,250,0.0404047039995202,0.0003541283507822,0.0398718000215012,0.0428345000254921,100
1,3,10,True,250,0.0823884580019512,0.0012827712492446,0.0808886000013444,0.087081700010458,100
1,3,15,True,250,0.1211586040002293,0.0015927784993352,0.1194539000280201,0.1267385999963153,100
1,3,20,True,250,0.1593962240003748,0.0024074965871449,0.157476200023666,0.1686846999800764,100
1,4,1,True,250,0.0095925989985698,0.0003675368129191,0.0091814000043086,0.0113537999859545,100
1,4,5,True,250,0.0571164880009018,0.0003112455692741,0.0565270000079181,0.0580578000226523,100
1,4,10,True,250,0.1164260069988085,0.000537497359958,0.1153509999858215,0.118361900007585,100
1,4,15,True,250,0.173495680000924,0.0025190153512006,0.1715545999759342,0.1897232999908737,100
1,4,20,True,250,0.2308681900025112,0.0032850054003591,0.2280804000038188,0.2429760000086389,100
1,5,1,True,250,0.0110684389990638,0.0002507418444023,0.0108318999991752,0.0124736999860033,100
1,5,5,True,250,0.073951308998221,0.0033594983645758,0.071497900004033,0.1020452000084333,100
1,5,10,True,250,0.148160888000566,0.0018300579672613,0.1461113000113982,0.1550054999825079,100
1,5,15,True,250,0.2238673290002043,0.0029073066342114,0.2200787999900058,0.2347794999950565,100
1,5,20,True,250,0.2978076640007202,0.003564986104704,0.2937807000125758,0.3097551999962888,100
2,2,1,True,250,0.0067507359987939,0.000297932182095,0.0064411000057589,0.0080791999935172,100
2,2,5,True,250,0.0328060759999789,0.000322588084445,0.032015999982832,0.03346189999138,100
2,2,10,True,250,0.06303159699979,0.0003410268872068,0.0618498000258114,0.0639252999972086,100
2,2,15,True,250,0.0932127340006991,0.0004654258871079,0.0911005999951157,0.0953045000205747,100
2,2,20,True,250,0.1236915269988821,0.0012998789033739,0.1207314000057522,0.1277660999912768,100
2,3,1,True,250,0.0114787509993766,0.0005531532926093,0.0105370999954175,0.0141653000027872,100
2,3,5,True,250,0.0523417189996689,0.0008060464899837,0.0508705000102054,0.0567204999970272,100
2,3,10,True,250,0.106134241000982,0.001422815540888,0.1037414000020362,0.1115992999984882,100
2,3,15,True,250,0.1593606960005127,0.0020917032450084,0.1567547000013291,0.1663421000121161,100
2,3,20,True,250,0.2097023520004586,0.0021675198507952,0.2056578999909106,0.2173057000036351,100
2,4,1,True,250,0.0137533869995968,0.0002421730243876,0.0132871000096201,0.0148755999980494,100
2,4,5,True,250,0.0729429880002862,0.0012996133181522,0.0710284000087995,0.077199199993629,100
2,4,10,True,250,0.1434666960019967,0.0017207922116294,0.1419572999875527,0.1492411000072024,100
2,4,15,True,250,0.2153707100014435,0.0025115020196682,0.2130034000147134,0.2246989000122994,100
2,4,20,True,250,0.2873585119997733,0.0055931800507638,0.2836764999956358,0.307668499997817,100
2,5,1,True,250,0.0168909539989545,0.0004159077596075,0.0162312999891582,0.018210900016129,100
2,5,5,True,250,0.0977735660015605,0.0009209024265973,0.0960718999849632,0.1010723999934271,100
2,5,10,True,250,0.1961892569999327,0.0022728399805626,0.1933278999931644,0.2052114000252913,100
2,5,15,True,250,0.2927500600003986,0.003934608043378,0.2886285000131465,0.3028489999996964,100
2,5,20,True,250,0.3856268960019224,0.006503507039634,0.3792508999758865,0.427973900019424,100
3,2,1,True,250,0.0077002299984451,0.0001912996696122,0.0074615000048652,0.0085524999885819,100
3,2,5,True,250,0.0434938470023917,0.0004105857592479,0.0426983999786898,0.0452218999853357,100
3,2,10,True,250,0.0897662860006676,0.0014916695067835,0.0880968999990727,0.0951432999863755,100
3,2,15,True,250,0.1356282080017263,0.0014619967462085,0.133425600011833,0.1458848000038415,100
3,2,20,True,250,0.1825321030002669,0.0031122199115631,0.1792891999939456,0.1917813000036403,100
3,3,1,True,250,0.0107307939991005,0.0003522664179217,0.0101846999896224,0.0118029000004753,100
3,3,5,True,250,0.0639343559986446,0.0005007673687501,0.0631897999846842,0.0653926999948453,100
3,3,10,True,250,0.1374043270014226,0.0021795448228112,0.134709500009194,0.1448321999923791,100
3,3,15,True,250,0.2080911060009384,0.0027603884877685,0.2055556999985128,0.2196477000252343,100
3,3,20,True,250,0.2815183720004279,0.0031775603949122,0.2777004000090528,0.2916029000189155,100
3,4,1,True,250,0.0140384269997593,0.0002301605626075,0.0137770999863278,0.0147482000174932,100
3,4,5,True,250,0.0844975049994536,0.0028774736684397,0.0821114999998826,0.0945512999896891,100
3,4,10,True,250,0.1764737249989411,0.0021943260703917,0.1741891999845393,0.1852328999957535,100
3,4,15,True,250,0.2710649389991886,0.0034190414090684,0.2673079000087455,0.2827341000083834,100
3,4,20,True,250,0.3641264180003782,0.0033189543129297,0.3598862000217195,0.3739084000117145,100
3,5,1,True,250,0.0174854099997901,0.0003779402578046,0.0169751000066753,0.0184444999904371,100
3,5,5,True,250,0.1107648679989506,0.0015555077878521,0.1087122999888379,0.1163422000245191,100
3,5,10,True,250,0.2242057249997742,0.0036775301518691,0.2213846999802626,0.2392630999966059,100
3,5,15,True,250,0.340224317999673,0.0030380506778766,0.3355364000017289,0.351056499988772,100
3,5,20,True,250,0.4522692780007492,0.0054881453082855,0.4466079999983776,0.4681162000051699,100
4,2,1,True,250,0.0072665379990939,0.0001694894393862,0.0070261000073514,0.007978700014064,100
4,2,5,True,250,0.0417173139995429,0.000344378835406,0.0407457999826874,0.0424268000060692,100
4,2,10,True,250,0.0846483329992042,0.0012479380923117,0.0828951000003144,0.0901243000116664,100
4,2,15,True,250,0.1266595860000234,0.0012356230541763,0.1246716999739874,0.1366697000048589,100
4,2,20,True,250,0.1693068859988125,0.0014718851159183,0.1666576999996323,0.175174900010461,100
4,3,1,True,250,0.0110744410008192,0.0002091830663466,0.0108426999941002,0.0120004999917,100
4,3,5,True,250,0.0686210820011911,0.0010308984396102,0.0672669999767094,0.0722654999990481,100
4,3,10,True,250,0.1432156009995378,0.001896911167694,0.1403685999976005,0.149912699998822,100
