channels,n_back,max_iter,post_optimize,n_obs,time_mean,time_std,time_min,time_max,n_repeats
1,2,1,True,250,0.005660699913278222,0.0,0.005660699913278222,0.005660699913278222,1
1,2,1,False,250,0.002274000085890293,0.0,0.002274000085890293,0.002274000085890293,1
1,2,5,True,250,0.027192400069907308,0.0,0.027192400069907308,0.027192400069907308,1
1,2,5,False,250,0.006213400047272444,0.0,0.006213400047272444,0.006213400047272444,1
1,2,10,True,250,0.05522870016284287,0.0,0.05522870016284287,0.05522870016284287,1
1,2,10,False,250,0.01120069995522499,0.0,0.01120069995522499,0.01120069995522499,1
1,2,15,True,250,0.08342840010300279,0.0,0.08342840010300279,0.08342840010300279,1
1,2,15,False,250,0.015967800049111247,0.0,0.015967800049111247,0.015967800049111247,1
1,2,20,True,250,0.10972190019674599,0.0,0.10972190019674599,0.10972190019674599,1
1,2,20,False,250,0.021887999959290028,0.0,0.021887999959290028,0.021887999959290028,1
1,3,1,True,250,0.007134899962693453,0.0,0.007134899962693453,0.007134899962693453,1
1,3,1,False,250,0.003444099798798561,0.0,0.003444099798798561,0.003444099798798561,1
1,3,5,True,250,0.04082300001755357,0.0,0.04082300001755357,0.04082300001755357,1
1,3,5,False,250,0.010230100015178323,0.0,0.010230100015178323,0.010230100015178323,1
1,3,10,True,250,0.08189109992235899,0.0,0.08189109992235899,0.08189109992235899,1
1,3,10,False,250,0.02172650001011789,0.0,0.02172650001011789,0.02172650001011789,1
1,3,15,True,250,0.12463910016231239,0.0,0.12463910016231239,0.12463910016231239,1
1,3,15,False,250,0.03141899988986552,0.0,0.03141899988986552,0.03141899988986552,1
1,3,20,True,250,0.1657746999990195,0.0,0.1657746999990195,0.1657746999990195,1
1,3,20,False,250,0.07187579991295934,0.0,0.07187579991295934,0.07187579991295934,1
1,4,1,True,250,0.03541289991699159,0.0,0.03541289991699159,0.03541289991699159,1
1,4,1,False,250,0.005158400163054466,0.0,0.005158400163054466,0.005158400163054466,1
1,4,5,True,250,0.0957262001466006,0.0,0.0957262001466006,0.0957262001466006,1
1,4,5,False,250,0.0221367001067847,0.0,0.0221367001067847,0.0221367001067847,1
1,4,10,True,250,0.13559919991530478,0.0,0.13559919991530478,0.13559919991530478,1
1,4,10,False,250,0.03218530002050102,0.0,0.03218530002050102,0.03218530002050102,1
1,4,15,True,250,0.18905070004984736,0.0,0.18905070004984736,0.18905070004984736,1
1,4,15,False,250,0.04589890013448894,0.0,0.04589890013448894,0.04589890013448894,1
1,4,20,True,250,0.24044759990647435,0.0,0.24044759990647435,0.24044759990647435,1
1,4,20,False,250,0.057785699842497706,0.0,0.057785699842497706,0.057785699842497706,1
1,5,1,True,250,0.012609499972313643,0.0,0.012609499972313643,0.012609499972313643,1
1,5,1,False,250,0.0049507999792695045,0.0,0.0049507999792695045,0.0049507999792695045,1
1,5,5,True,250,0.0747664999216795,0.0,0.0747664999216795,0.0747664999216795,1
1,5,5,False,250,0.02069359994493425,0.0,0.02069359994493425,0.02069359994493425,1
1,5,10,True,250,0.16097560012713075,0.0,0.16097560012713075,0.16097560012713075,1
1,5,10,False,250,0.05833939998410642,0.0,0.05833939998410642,0.05833939998410642,1
