channels,n_back,max_iter,post_optimize,time_mean,time_std,time_min,time_max,n_repeats
1,2,1,True,0.007382359961047769,0.0003121437199819304,0.006986499996855855,0.007859099889174104,5
1,2,1,False,0.007396900048479438,0.00040041709685039676,0.00684070005081594,0.008058999897912145,5
1,2,5,True,0.0337111399974674,0.002146878781069165,0.031763199949637055,0.037788899848237634,5
1,2,5,False,0.0318718200083822,0.0005180077523984617,0.03130899998359382,0.032672799890860915,5
1,2,10,True,0.06449117991141975,0.0008592872208625394,0.06358269997872412,0.06578629999421537,5
1,2,10,False,0.06250897999852896,0.0004798006591959068,0.061824699863791466,0.06319520017132163,5
1,2,15,True,0.09425931996665896,0.000591228605818846,0.09338620002381504,0.09522209991700947,5
1,2,15,False,0.09393069995567202,0.0005387961125180042,0.0928777998778969,0.09437049995176494,5
1,2,20,True,0.12694665999151766,0.0008463884825711557,0.12576560000889003,0.12796219997107983,5
1,2,20,False,0.1256208200007677,0.0005548792798719222,0.12469449988566339,0.1261623001191765,5
1,3,1,True,0.008463440043851734,0.00010153664842712163,0.008307200158014894,0.008554100058972836,5
1,3,1,False,0.0083655399736017,0.00012857657202691036,0.008250599959865212,0.00860810000449419,5
1,3,5,True,0.04667238001711667,0.0010665496302526497,0.04563040006905794,0.04866200010292232,5
1,3,5,False,0.04587214002385735,0.0003255795394405361,0.04544469993561506,0.046223900048062205,5
1,3,10,True,0.09277257998473942,0.0006416786330759042,0.09209929988719523,0.09383019991219044,5
1,3,10,False,0.09224717998877167,0.0009499465483244694,0.09131249994970858,0.0936207000631839,5
1,3,15,True,0.13937368001788855,0.00026772573010902593,0.13894179998897016,0.13961929990909994,5
1,3,15,False,0.13918856005184352,0.0011997972239054236,0.13727040006779134,0.14082779991440475,5
1,3,20,True,0.18537413999438285,0.0008381857518451318,0.18425130005925894,0.18656219984404743,5
1,3,20,False,0.18555141994729638,0.0007710137846120037,0.18451760010793805,0.18658719980157912,5
1,4,1,True,0.011329419957473875,9.708744935829261e-05,0.011206499999389052,0.011442799819633365,5
1,4,1,False,0.011290219984948635,0.00016355128211753312,0.011163600021973252,0.011610199930146337,5
1,4,5,True,0.06399670001119376,0.0004525356482405702,0.06334690004587173,0.06457879999652505,5
1,4,5,False,0.06354082003235817,0.0007730668396768281,0.062369100051000714,0.06462250021286309,5
1,4,10,True,0.12674580006860198,0.0002605951412493375,0.12650189991109073,0.12720700004138052,5
1,4,10,False,0.12614525998942555,0.0006678127271116518,0.12493659998290241,0.12675950000993907,5
1,4,15,True,0.18973433999344708,0.0008459410518833355,0.1887247001286596,0.1911418999079615,5
1,4,15,False,0.1895371400285512,0.0007863139827715709,0.18807220016606152,0.1903814000543207,5
1,4,20,True,0.2527262200601399,0.000677756720277045,0.2516485000960529,0.2533360000234097,5
1,4,20,False,0.2526258600410074,0.0005853526353738926,0.25157389999367297,0.253111399943009,5
1,5,1,True,0.01506833997555077,0.00024378679538425904,0.014799099881201982,0.015468599973246455,5
1,5,1,False,0.01482748002745211,0.00012001505358801396,0.01472440012730658,0.01505589997395873,5
1,5,5,True,0.08809471996501088,0.0013403757003207766,0.08672769996337593,0.09039549995213747,5
1,5,5,False,0.08908198000863195,0.0009684732626951508,0.08810269995592535,0.09072530013509095,5
1,5,10,True,0.1802475600503385,0.0013994589443843772,0.1786605000961572,0.18241390003822744,5
1,5,10,False,0.17824056004174055,0.003355903180006358,0.17486020014621317,0.18345030001364648,5
1,5,15,True,0.26670589996501803,0.002043440183286834,0.2644305999856442,0.2698899998795241,5
1,5,15,False,0.2649867800064385,0.0010714082399349183,0.2632185001857579,0.2661537998355925,5
1,5,20,True,0.3557079600170255,0.0012203387337121196,0.35428710002452135,0.357399599859491,5
1,5,20,False,0.3587081800214946,0.0053807981447489646,0.35361919994466007,0.36687730019912124,5
2,2,1,True,0.006263300031423569,0.00023053777940946438,0.006020199973136187,0.00662430003285408,5
2,2,1,False,0.00606928002089262,5.1078073736116715e-05,0.005999299930408597,0.00614590011537075,5
2,2,5,True,0.039095239946618676,0.0004783304056302577,0.038402399979531765,0.03963769995607436,5
2,2,5,False,0.038405739981681106,0.0003924513117385008,0.03780269995331764,0.03892490011639893,5
2,2,10,True,0.07811870006844401,0.0008434287993643201,0.07747330004349351,0.07978080003522336,5
2,2,10,False,0.08021756005473435,0.0012575044093942184,0.07874210015870631,0.0820490000769496,5
2,2,15,True,0.11612108005210757,0.00046539406597806936,0.11541660013608634,0.11682300013490021,5
2,2,15,False,0.11567363999783993,0.0007159481844304069,0.11469680001027882,0.1167510999366641,5
2,2,20,True,0.15527315996587276,0.0009203676409021467,0.15401569986715913,0.1566386001650244,5
2,2,20,False,0.1548952199984342,0.000524207623603376,0.1539204001892358,0.15541809983551502,5
2,3,1,True,0.008690700028091669,0.000279487360855027,0.008477900177240372,0.009237799793481827,5
2,3,1,False,0.008513940032571554,3.621876350553408e-05,0.008475900162011385,0.00856820004992187,5
2,3,5,True,0.05683014011010527,0.0005260072246206727,0.056042500073090196,0.0575059000402689,5
2,3,5,False,0.05680712000466883,0.0001453976242774051,0.05654980009421706,0.056977400090545416,5
2,3,10,True,0.11765364003367722,0.0005144526431127639,0.11681669997051358,0.11842120019719005,5
2,3,10,False,0.11768409996293486,0.00041647637631559337,0.11713819997385144,0.11812200001440942,5
2,3,15,True,0.17861793995834888,0.0005997195584336463,0.17792629986070096,0.17931669997051358,5
2,3,15,False,0.18037367998622358,0.0015658055074858296,0.17875600000843406,0.18326999992132187,5
