"","ch0","ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9","ch10","ch11","ch12","ch13","ch14","ch15","ch16","ch17","ch18"
"20500",-0.089111328125,0.00244140625,-0.19287109375,-0.5029296875,0.1318359375,0,0.789794921875,-0.733642578125,0.128173828125,-0.05859375,-0.0390625,0.02685546875,0.023193359375,0.147705078125,0.257568359375,0.244140625,0.115966796875,0.20751953125,-0.240478515625
"20501",-0.067138671875,-0.015869140625,-0.29052734375,-0.521240234375,0.01708984375,0.003662109375,0.650634765625,-0.986328125,0.0732421875,-0.167236328125,0.01708984375,0.06103515625,0.04638671875,0.18798828125,0.272216796875,0.2880859375,0.113525390625,0.208740234375,-0.23681640625
"20502",-0.029296875,-0.045166015625,-0.15869140625,-0.281982421875,-0.150146484375,0.003662109375,-0.010986328125,-0.628662109375,0.020751953125,-0.147705078125,0.166015625,0.084228515625,0.0634765625,0.224609375,0.26611328125,0.220947265625,0.113525390625,0.211181640625,-0.230712890625
"20503",0.013427734375,-0.1416015625,-0.40283203125,-0.389404296875,-0.284423828125,0,-0.531005859375,-0.850830078125,0.050048828125,-0.150146484375,-0.006103515625,0.157470703125,0.08544921875,0.2197265625,0.25634765625,0.17333984375,0.11474609375,0.21240234375,-0.22705078125
"20504",0.052490234375,-0.230712890625,-0.37353515625,-0.289306640625,-0.64453125,0.009765625,-0.501708984375,-0.753173828125,0.14892578125,-0.23681640625,0.13427734375,0.0048828125,0.10498046875,0.245361328125,0.224609375,0.16357421875,0.1123046875,0.21240234375,-0.21728515625
"20505",0.1171875,-0.302734375,-0.28076171875,-0.062255859375,-0.706787109375,0.0048828125,-0.634765625,-0.404052734375,0.23681640625,-0.03173828125,0.213623046875,0.233154296875,0.12451171875,0.184326171875,0.142822265625,0.0439453125,0.113525390625,0.21240234375,-0.208740234375
"20506",0.16845703125,-0.372314453125,-0.439453125,0.062255859375,-0.83984375,-0.001220703125,-0.889892578125,-0.4736328125,0.3564453125,0.01220703125,0.10498046875,0.17822265625,0.115966796875,0.20263671875,0.074462890625,-0.084228515625,0.10986328125,0.213623046875,-0.203857421875
"20507",0.1953125,-0.3955078125,-0.303955078125,0.4296875,-0.919189453125,-0.015869140625,-0.89599609375,-0.213623046875,0.3271484375,-0.0927734375,0.177001953125,0.157470703125,0.1025390625,0.10498046875,0.013427734375,-0.11474609375,0.1123046875,0.213623046875,-0.1953125
"20508",0.225830078125,-0.374755859375,-0.13916015625,0.662841796875,-0.88623046875,-0.020751953125,-1.278076171875,0.06591796875,0.296630859375,-0.00732421875,0.15380859375,0.2685546875,0.089111328125,0.02197265625,-0.11962890625,-0.213623046875,0.10986328125,0.216064453125,-0.186767578125
"20509",0.245361328125,-0.32958984375,0.123291015625,0.897216796875,-0.859375,-0.028076171875,-1.66015625,-0.087890625,0.169677734375,0.0830078125,0.14892578125,0.118408203125,0.08056640625,0.01953125,-0.24169921875,-0.4150390625,0.111083984375,0.216064453125,-0.1806640625
